"Topic ID","Highest Ranking","Lowest Ranking"
"0","mundsvælgkræft, mundkræft, mundsvælgskræft, mundhulekræft, halskræft, hovedhalskræft, halskræfthos, halscancer, kræftvirus, kræftvirussen","omkostningseffektiv, omkostningseffektivt, evalueringen, utilfreds, omkostningsundersøgelse, forskningsmidler, forskningsinstitutioner, pilotstudie, forskningsstudier, evaluering"
"1","usikkerhed, kræftvaccination, bekymret, bekymrende, uansvarligt, kræftrisiko, kræftrisikoen, kræftsyg, kræftvaccinationer, bekymringen","forskningsresultat, forskningsresultater, 1992, nobelpris, 1982, 1993, 1994, 1974, 2002, 2012"
"2","screeningsalderen, age, gennemsnitsalderen, old, gennemsnitsalder, aged, aldersgrænsen, years, årsalderen, aldersgrænse","informationsmøde, informationsmødet, informationskampagne, pressemøde, lokalforening, lokalforeningen, pressemødet, oplysningskampagne, hjemmeside, hjemmesiden"
"3","hovedhalskræft, livsmoderhalskræft, livmoderhalskræften, kræftforskningen, livmoderhalskræftvaccinen, kræftplanen, halskræft, livmorhalskræft, kræftvaccinationer, kræftforskning","kønsvorter, kondomer, kønsvorterne, kondomet, fodvorter, kondom, seksualvaner, sexpartnere, kønsvorter2, seksualpartnere"
"4","ungdommen, forskningsarbejde, forskningssamarbejde, forskerne, pillerne, forskergruppe, forskningsprojekter, myten, journalisterne, personerne","gardasil, gardasils, gardasil9, gradvis, panodil, gradvist, cervarix, greider, gerdes, hertil"
"5","skuespillere, skuespiller, skuespillerinden, skuespilleren, forfattere, direktøren, lykkeligste, underholdning, kritikerne, ældreminister","hpvvirus, hpv, hpvvaccination, hpvvaccine, papillomvirus, hpvvaccineret, vaccine3, hpv16, vaccinehpv, papillovirus"
"6","livmoderhalskræftscreening, screeningsundersøgelse, screeningstest, screeningsundersøgelser, screeningsmetode, screeningsafdeling, screeningsprøve, screeningsmetoder, screening, screeningstilbuddet","kræftvaccinen, kræftvaccine, kræftvacciner, vaccinebivirkninger, kræftvaccination, kræftvaccinationer, truffet, kræften, kræftdødsfald, kræftens"
"7","livmoderhalsen, livmoderhals, livmoderhalskraft, livsmoderhalskræft, livmoderhalsens, livmoder, livmoderhalskræfter, livmoderhalskræftog, livmorhalskræft, livmoderen","drengebørn, drengene, men, drengevaccine, mændene, egenbetaling, regning, drengevenner, drengenes, medicinpriser"
"8","cost, omkostning, omkostninger, kosten, udgiften, udgifter, bekostning, paywall, livmoderhalskræftkoster, royalties","screeningsalderen, ældreminister, aldersgrænse, aldersgrænsen, børneagentur, diagnosetidspunktet, børnelæger, drengebørn, ældreministeriet, børnelæge"
"9","livmoderhalskræftkoster, finanslovsforslaget, finanslovsforhandlingerne, finanslovsudspillet, finansminister, budget, engangsbeløb, cost, bekostning, finansministeriet","vaccinationsforskningen, screeningsundersøgelser, hpv16, hpvvaccinerede, befolkningsundersøgelser, screeningsundersøgelse, undersøgelsen, kræftforskere, vaccinationshistoriens, kræftforsker"
"10","bivirkningsindberetninger, bivirkningskomitéen, bivirkningskomité, hovedpine, bivirkningsramte, bivirkningsramt, smertesymptomer, smertesyndromer, bivirkningerne, symptomerne","kræftforebyggelse, kræftforebyggende, respekt, dækningsgrad, grad, chancer, respekten, dækningsgraden, andel, screeningsalderen"
"11","livmoderhalskræftkoster, underlivskræft, hpvtest, livmoderhalskraeft, livmoderkræfttilfælde, livmoderhalskræfthvert, peniskræft, pigernesresultatet, penishovedet, livmoderhalskræfttilfælde","vaccination, vaccinations, vaccines, vaccinationsskeptiske, mæslingevacciner, mæslingevaccine, vaccineskeptikere, influenzavaccination, vaccine, mæslingevaccinen"
"12","kræftvaccinen, kræftforsker, kræftforskere, kræftvacciner, vaccinationsforskningen, kræftvaccine, kræftforskningen, kræftforskning, kræftvirus, kræftforskeres","interessesammenfaldet, medieomtale, mediedebat, risikoprofil, screeningsalderen, irrelevant, informationsindsats, mediedebatten, fagperson, incitamentsaflønning"
"13","pigernesresultatet, vaccinationsprocenten, vaccinationsprocent, antallet, halveret, deltagerprocenten, 1200, næsthyppigste, resulterede, halvere","rothman, træthedsyndrom, kønsvorter, vortevirus, myelomatose, kønsvorterne, ugens, europas, virussens, anus"
"14","bavarian, nordicbavarian, bavariannordic, bava, bvnry, imvanex, ofnasdaq, nordcan, mva, tavs","gynækologer, gynækolog, gynækologi, sexolog, kønssygdomme, kønssygdom, gynækologen, kønsdele, kønssygdommene, læger"
"15","kræftdødsfald, kræftplanen, kræftplan, kræfthandlingsplan, cancerregistret, cancerregisteret, kræftforekomst, kræftproblemerne, kræftbehandling, kræftrisiko","papillovirus, papillomvirus, hpvvirus, livmoderhalsen, virushpv, hpvvaccinerede, vaccinehpv, hpvinfektion, vaccinenhpv, hpvvaccinen"
"16","kønsvorter, kønsvorte, livmoderhalskræftkoster, kønsvorter2, kønsvorterne, undervurderer, anslår, konkludere, sønner, sønnerne","aldersgrænsen, aldersgrænse, 1995, fødselsårgang, 1975, vaccinationstidspunktet, 1955, sygdomsfri, 1991, 1985"
"17","proof, hpvtest, bevis, evidence, beviset, bevist, hpvhpv, skepsis, overbevisning, påstå","vaccinationsdeltagelsen, vaccinationsdeltagelse, østdanmark, danmarksmester, vaccinationsdækningen, vaccinationsdækning, vaccinedækning, københavnerne, midtjyllands, københavnsområdet"
"18","kønsvorterne, kønsvorter, kønsvorte, kønsvorter2, vorter, vorte, vorterne, kønsorganerne, kønsorganer, vort","hundredevis, hundredvis, haderslev, herlev, hbv, 24syv, rsv, hrhpv, marselisborg, silkeborg"
"19","højteknologifonden, kampagneekspert, pseudovidenskab, forskningschef, forebyggelseschef, centerdirektør, hpvdebattendebatten, journalisthøjskole, informationskampagne, kommunikationsrådgiver","smertesymptomer, muskelsmerter, symptomerne, migræne, brystsmerter, børneeksem, mavesår, symptomer, bivirkningsramt, symptom"
