"Time Slice","0_vaccineret_vaccinationen_forældre_vaccinationer","1_livmoderhalskræft_måske_forebyggelse_gør","2_sundhedsstyrelsen_sundhedsstyrelsens_lægeforeningen_forældre","3_kræft_livmoderhalsen_kræften_halskræft","4_hpv_vaccine_vaccination_papillomavirus","5_bivirkninger_hovedpine_svimmelhed_sygdom","6_kvinder_kvinderne_ældre_årige","7_bekæmpelse_kræftens_kræftsygdom_kvinder","8_undersøgelse_undersøgelsen_undersøgt_livmoderhalsen","9_sygdommen_sygdom_sygdomme_årsagen","10_læger_lægerne_sygdomme_sundhedsvæsenet","11_vaccinen_godkendt_vaccinationsprogrammet_vacciner","12_også_årige_drenge_gør","13_vaccinerede_hpvvaccinen_vaccinerne_undersøgelsen","14_sundhedsminister_sundhedsministeren_sundhedsordfører_vaccinationsprogrammet","15_kønsvorter_analkræft_kønssygdomme_sygdomme","16_kræftformer_kræftsygdom_kræfttilfælde_brystkræft","17_børnevaccinationsprogrammet_børnevaccinationsprogram_vaccinerne_analkræft","18_læge_lægen_lægerne_sundhed","19_overlæge_sundhedsstyrelsens_overlægen_gynækologisk"
"2001 05 03 - 2002 01 24","politikere, usikker, informationsmøde, vigtige, booster, favrskov, tidligere, mellem, vaccine2, klasserne","højrisikotyper, sundhedsstyrelse, polio, bivirkningskomitéen, kræftforsker, menneskeliv, sygdomssymptomer, hpv18, år, indlæggelse","udføre, forhandlinger, lægeuddannelse, hvad, afkræftes, uddannet, tarmkræft, ventelister, andet, fordele","kræft, kræftsvulsten, hpv, papillomavirus, endetarmsåbningen, livmoderhalsen, diagnosticeret, undersøgelsen, årsag, kilde","endetarmsåbningen, kræftsvulsten, sygdom, infektion, diagnosticeret, kræft, kilde, forskerne, papillomavirus, forskere","forskerne, kræftsvulsten, kilde, hpv, diagnosticeret, kræft, forskere, undersøgelsen, sygdom, papillomavirus","hpv, undersøgelsen, livmoderhalsen, årsag, sygdom, kræft, endetarmsåbningen, diagnosticeret, kilde, ifølge","spørges, kræftknuder, skævhed, tilgængelig, uddannelser, vaccineskadede, præsident, farligere, dækningen, vaccinationsattest","kræftsvulsten, kræft, livmoderhalsen, sygdom, infektion, diagnosticeret, kilde, forskerne, forskere, årsag","årsag, kræft, hpv, livmoderhalsen, kilde, kræftsvulsten, ifølge, diagnosticeret, endetarmsåbningen, forskerne","kræft, kræftsvulsten, sygdom, diagnosticeret, infektion, undersøgelsen, kilde, ifølge, endetarmsåbningen, forskere","medarbejder, sundhedsplejen, drengevenner, smittespredningen, lægemiddelstyrelsen, lægemiddelovervågning, tvivlere, dejligt, overlæger, vaccinender","endetarmsåbningen, hpv, diagnosticeret, undersøgelsen, kræft, forskerne, infektion, sygdom, ifølge, livmoderhalsen","ifølge, forskere, endetarmsåbningen, forskerne, kilde, livmoderhalsen, diagnosticeret, kræftsvulsten, kræft, undersøgelsen","småbørn, respiratorisk, hurtigere, sundhedsudvalg, prøve, kiggede, sygesikringskort, udvide, smerte, detox","sygdom, hpv, forskerne, endetarmsåbningen, kilde, årsag, kræft, ifølge, papillomavirus, infektion","forskerne, ifølge, kræftsvulsten, hpv, forskere, papillomavirus, undersøgelsen, livmoderhalsen, endetarmsåbningen, årsag","kræftforskeres, røg, furesø, indlægget, hvilken, forklarer, cancersygdom, markeret, sæd, børneafdelingen","kræft, endetarmsåbningen, diagnosticeret, forskerne, forskere, undersøgelsen, infektion, årsag, kilde, livmoderhalsen","kræftsvulsten, forskerne, ifølge, sygdom, endetarmsåbningen, kilde, papillomavirus, livmoderhalsen, diagnosticeret, hpv"
"2002 01 24 - 2002 10 17","politikere, usikker, informationsmøde, vigtige, booster, favrskov, tidligere, mellem, vaccine2, klasserne","kræftvirussen","livmoderkræfttilfælde, halskræft, kræfttyper, kræfttype, kræftrisiko, sundhedsstyrelsen, vaccinen, virusinfektionen, virusinfektion, immunforsvar","hpv, kræftvirussen","hpv, lungekræft, øget, undersøgelsen, øger, øge, celleforandringer, kvinders, livmoderhalsen, kvinder","sygdomme, livmoderkræfttilfælde, halskræft, kræfttyper, kræfttype, kræftrisiko, sundhedsstyrelsen, virusinfektionen, virusinfektion, immunforsvar","livmoderhalsen, kvinder, livmoderhalskræft, kønsvorter, kræftens, bekæmpelse, spørgeskemaet","vaccinen, kræftens, bekæmpelse, kræftvaccine, gynækologiske, kvinderne, undersøgelser, undersøgelse, papillomavirus, kønsvorter","papillomavirus, undersøgelser, undersøgelse, lungekræft, øget, undersøgelsen, øger, øge, celleforandringer, kvinders","sygdomme, sygdommen, livmoderhalskræft, børnevaccinationsprogrammet, udvikle, udviklingen, udvikling, gennemsnit, blodprøver, sundhedsministeriet","fjernet, lægen, kirurgisk, læger, fjerne, større, forsigtig, skære, fjerner, veninde","vaccinen, kræftens, bekæmpelse, musen","peniskræft, omskæring, kræftfremkaldende, kræftform, mænd, procent, omskåret, omskårne, tilfælde, sexpartnere","blodprøver, sundhedsministeriet, biobanker, seruminstituttet, celleprøver, cancerregisteret, sundhed, indsamlingen, forskningen, indsamler","biobanker, forskningen, seruminstituttet, indsamler, cancerregisteret, sundhedsministeriet, forskere, blodprøver, indsamlingen, undersøge","kønsvorter, kræftvaccine, gynækologiske, kvinderne, undersøgelser, undersøgelse, papillomavirus, undersøge, forskere","fjernet, lægen, kirurgisk, læger, fjerne, større, forsigtig, skære, fjerner, veninde","børnevaccinationsprogrammet, udvikle, udviklingen, udvikling, gennemsnit, sygdommen, kvinder, livmoderhalsen, sygdomme, hpv","forskere, nyhed, musen","undersøge, forskere, kræftvaccine, gynækologiske, kvinderne, undersøgelser, undersøgelse, papillomavirus, livmoderhalskræft, kræftens"
"2002 10 17 - 2003 07 10","politikere, usikker, informationsmøde, vigtige, booster, favrskov, tidligere, mellem, vaccine2, klasserne","hpv, overlæge, kvinde, øge, virussygdom, musen","udføre, forhandlinger, lægeuddannelse, hvad, afkræftes, uddannet, tarmkræft, ventelister, andet, fordele","hpv, livmoderhalskræft, øge, kræftens, sønderborg, musen","livmoderhalskræft, hpv, kræftens, kræftvirussen, virussygdom","indgår, engangsbeløb, sprøjte, omstridt, hjemmet, voldsomt, indfører, hospitalsindlæggelser, smertefuldt, forskerne","livmoderhalsen, kvinder, kræftforskere, kræftrisikoen, celleforandringer, undersøgelser, konstateret, hpv, livmoderhalskræft, kræft","papilloma, bekæmpelse, kønsvorter, også, undersøgelse, kræft, livmoderhalskræft, hpv, kræftform, kræftens","kræftforskere, kræftrisikoen, celleforandringer, undersøgelser, konstateret, kønsvorter, undersøgelse, også, papilloma, bekæmpelse","internettet, pressemeddelelsen, kørestol, selvmord, ulighed, mavesmerter, hjertesygdom, primær, samfund, uhørt","årsag, virusinfektionen, længerevarende, videnskabelige, fortsat, forhøjet, forskergruppen, kvinden, tobaksrygning, øger","medarbejder, sundhedsplejen, drengevenner, smittespredningen, lægemiddelstyrelsen, lægemiddelovervågning, tvivlere, dejligt, overlæger, vaccinender","kønsvorter, undersøgelse, også, papilloma, bekæmpelse, kræft, hpv, livmoderhalskræft, overlæge","øger, årsag, virusinfektionen, længerevarende, videnskabelige, fortsat, forhøjet, forskergruppen, kvinden, tobaksrygning","småbørn, respiratorisk, hurtigere, sundhedsudvalg, prøve, kiggede, sygesikringskort, udvide, smerte, detox","livmoderhalskræft, kræftform, virussygdom, glædelig, musen","kræftform, seksuelt, kræftens, overlæge, øge, øger, kvinde, kræft, hpv, livmoderhalskræft","kræftforskeres, røg, furesø, indlægget, hvilken, forklarer, cancersygdom, markeret, sæd, børneafdelingen","kræft, tobaksrygning, forhøjet, øger, årsag, længerevarende, kvinden, virusinfektionen, hpv, fortsat","kræftens, kræftform, overlæge, hpv, kræft, livmoderhalskræft, øge, seksuelt, kvinde, øger"
"2003 07 10 - 2004 04 01","kræftvaccine, børnevaccinationsprogram, kræftsygdom, vaccineret, lægen, afprøvning, immunforsvaret, afgørende, vaccinen, årige","kræftvirussen","sexsygdomme, kønssygdomme, sundhedsstyrelsens, bekæmpelsen, forebyggelse, forebyggelsesindsatsen, vacciner, myndighederne, kondomer, forebygge","kræft, børn, kræftens, livmoderhalskræften, kræftforskning, kræftforskere, videnskabelig, fundet, naturvidenskabelige, formand","hpv, kønsdelene, vaccination, kræftens, børnevaccine, forsøg, kræftformer, ansigtet, kondylomer, øjnene","pressemøde, pressemeddelelse, landsformand, besvaret, dansker, justitsministeriet, yderligere, seneste, indgået, mødet","kvinder, børn, vaccination, kræftens, kræftform, håber, bekæmpelse, sygehus, vinder, artiklen","bekæmpelse, kræftens, vaccination, kræft, børn, livmoderhalskræft, sønderborg","undersøgelse, vaccinations, undersøgelsen, kønsdelene, hpvvirus, børnevaccine, kræftformer, børn, bekæmpelse, vaccinationsprogram","sygdommen, forsøg, kræftens, sygehus, børneafdelingen, børn, vaccinationsprogram, kønsdelene, kræftformer, kræftform","læger, forskningsprojekt, forskerne, forskningsprojektet, indsprøjtningen, afprøvet, århusianske, bekæmpelse, forbrug, læge","vaccinen, bekæmpelse, pladsen, virussygdom, haderslev","også, ansigtet, kondylomer, øjnene, spørgsmål, årsager, øjne, skyldes, næse, sundhed","børneafdelingen, undersøgelsen, kræften, børnene, endetarmskræft, sygehus, håber, kræftform, vaccinationerne, vaccinationsprogram","vacciner, myndighederne, hvornår, citattjeneste, overlæge, pressemøde, pressemeddelelse, landsformand, besvaret, dansker","kønsvorter, kræftform, forsøg, undersøgelse, kønsdelene, forbrug, bekæmpelse, kondomer, måske, forebygge","kræftformer, børnevaccine, kræftform, undersøgelse, børn, vaccination, kønsdelene, bekæmpelse, kræft, kønsvorter","endetarmskræft, børn, bekæmpelse, kræftvaccine, børnevaccinationsprogram, kræftsygdom, vaccineret, lægen, afprøvning, immunforsvaret","læge, kønsdelene, ansigtet, kondylomer, øjnene, spørgsmål, årsager, øjne, skyldes, næse","overlæge, årige, direktør, ukendt, næsten, generalsekretær, redaktør, specielt, overlæger, tandlæge"
"2004 04 01 - 2004 12 23","børnene, forsøget, børns, kønssygdommen, børn, forsøg, undersøge, urinprøve, blodprøver, afprøve","kræftvirussen","folkesundhedsvidenskab, længere, brystkræft, kræftform, screeningstest, undersøgelse, kræftsvulst, mammografiscreening, undersøges, kræftsygdom","kræft, livmoderhalskræft, børnene, musen","hpv, celleforandringer, tilfælde, kræftsygdom, vaccine, vigtig, papillomavirus, dræber, infektioner, udvikler","forsøgspersonerne, underlivskræft, afprøvning, leverbetændelse, afprøvningen, kønsdelene, lodtrækningsforsøg, bivirkninger, sygdomme, herpesvirus","kvinder, livmoderhalskræft, tilfælde, papillomavirus, dræber, infektioner, udvikler, mennesker, halv, konstateret","kræftens, bekæmpelse, kræftsygdom, kræftforsker, kræft, forskere, sundhedsudvalg, kontrolundersøgelser, vaccine, vigtig","lægerne, livmoderhalsen, kræftsygdommen, lægevidenskabelige, kræftsyge, kvinderne, undersøgelser, undersøgelsen, brystkræft, kræftform","sygdommen, seksuelt, kønssygdom, celleforandringer, sundhed, klamydia, syfilis, hiv, aids, kondomer","læger, kræftsygdommen, lægevidenskabelige, kræftsyge, kvinderne, undersøgelser, undersøgelsen, bekæmpelse, livmoderhalsen, forebyggelse","vaccinen, vacciner, bekæmpelse, børnevaccinationer, kræftfremkaldende, vaccinationerne, virusinfektioner, kvinder, sygehus, forskere","også, dræbt, døde, sygehuset, udskrevet, mænd, indlagte, politiet, ulykken, besøg","kønssygdom, forebyggelse, sundhed, klamydia, syfilis, hiv, aids, kondomer, værst, sagde","kønssygdomme, sundhed, klamydia, syfilis, hiv, aids, kondomer, værst, sagde, seksuelt","kønsvorter, godkendt, kønssygdommen, forsøg, urinprøve, børn, blodprøver, undersøge, medicinalfirmaer, afprøve","kræftsygdom, endetarmskræft, testikelkræft, kræftbehandlingen, bugspytkirtelkræft, prostatakræft, kræftbehandling, kræftsygdomme, modermærkekræft, børnekræft","kræftvaccine, kræftforskning, underlivsundersøgelse, lægen, lægemidler, videnskabelige, kræftforsker, undersøger, livmoderhalsen, kræftens","livmoderhalskræft, livmoderhalsen, folkesundhedsvidenskab, sønderborg, pladsen","overlæge, vaccine, vigtig, vacciner, bekæmpelse, celleforandringer, første, folkesundhedsvidenskab, længere, kræftsygdom"
"2004 12 23 - 2005 09 15","øjenlæge, lymfekræft, øjnene, forældrene, lægerne, sygehuset, øjne, kræftsygdom, lægen, forældre","kræftvirussen","sundhedsstyrelsen, kønssygdommene, prævention, underlivsbetændelse, sygdomme, barnløshed, klamydia, kondomer, hvorfor, kønssygdomme","kræft, livmoderhalsen, undersøges, kønsvorter, peniskræft, livmoderkræfttilfælde, virusinfektionen, sygdommens, køn, endetarmsåbningen","hpv, celleforandringer, papillomavirus, livmoderhalsen, undersøgelser, undersøge, undersøges, seksuelt, kræften, kræftrisiko","sygdom, seksuelt, kønssygdommene, prævention, underlivsbetændelse, sygdomme, barnløshed, klamydia, kondomer, hvorfor","kvinder, undersøge, screeningsmetode, bekæmpelse, kønsvorter, sygdommen, livmoderhals, infektioner, forskerne, videnskabelig","bekæmpelse, kvinder, kræftens, livmoderhals, infektioner, forskerne, videnskabelig, screeningen, kønsvorter, livmoderhalskræfttilfælde","undersøgelse, undersøgelsen, undersøgt, undersøgelser, kræfttilfælde, gynækolog, gynækologisk, kønsorganerne, celleprøver, undersøges","sygdommen, kræften, kræftsygdommen, kræfttilfældene, dødbringende, forskere, årsagen, vacciner, vaccinere, hvoraf","læger, kønssygdomme, sundhedsministeriet, cervixcancer, sundhedsfagligt, cytologisk, seruminstituttet, lægefaglige, sundhedssektoren","vaccinen, kræftens, kræften, livmoderhalskræfttilfælde, kræftform, kræftformen, børnevaccine, sundhedssystemet, kønsvorter, kræft","fødselsdag, række, chefredaktør, redaktør, bestyrelsen, desuden, kvinde, runde, også, årrække","vaccinerede, medicinalvirksomheden, bekræfter, uvaccinerede, kvinderne, livmoderhalsen, godkendt, næsten, kræfttilfælde, undersøgelsen","kønssygdomme, sundhedsministeriet, cervixcancer, sundhedsfagligt, cytologisk, seruminstituttet, lægefaglige, sundhedssektoren, gynækolog, undersøgelse","kønsvorter, seksuelt, celleforandringer, kønssygdomme, peniskræft, livmoderkræfttilfælde, virusinfektionen, sygdommens, køn, endetarmsåbningen","tyktarmskræft, kræftbehandling, tarmkræft, nyrekræft, kræftpatienter, prostatakræft, endetarmskræft, lungekræft, halskræft, lægernes","kræftscreening, kræftformer, kræftpatient, screeningstest, lægemiddelstyrelsen, verdenssundhedsorganisationen, lægemidler, undersøgt, undersøgelsen, tyktarmskræft","papillomavirus, sundhedsstyrelsens, screeningsprogram, læge, kvinderne, nøje, kvinden, konstateret, screeningsmetode, undersøgelse","overlæge, livmoderhalskræfttilfælde, kræftform, kræftformen, børnevaccine, sundhedssystemet, sygdommen, sundhedsstyrelsens, kvinderne, screeningsprogram"
"2005 09 15 - 2006 06 08","vaccineret, livmoderhalsen, kræftsygdom, kræftvaccine, kvinderne, kræftsygdomme, celleforandringer, fjernet, kræften, vacciner","kvinder, kønsvorter, virussygdom","sundhedsstyrelsen, undersøger, sygehus, sygehuse, undersøgelserne, livmoderkræft, celleprøver, undersøgelser, livmoderhalsen, bekæmpelse","kræft, bekæmpelse, forskere, kønsorganerne, kræftform, gennembrud, gynækologisk, udvikler, papillomavirus, fjernet","hpv, skyldes, celleforandringer, vaccine, håber, godkendt, fuldstændigt, infektion, bliver, papilloma","forebyggelse, bivirkninger, virusinfektion, fjernet, kræftform, livmoderhalsen, sygdom, sygdomme, helbredstjek, livskvaliteten","kvinder, børnevaccinationsprogram, kræftvaccine, livmoderhalsen, årsag, seksuelt, kønsorganerne, livmoderhalskræft, celleforandringer, forårsager","kræftens, bekæmpelse, kvinder, sygdommen, infektionen, forårsager, livmorhalsen, livmoderhalskræft, rigshospitalet, vaccineret","undersøgelse, undersøgelsen, celleforandringer, infektionssygdomme, vaccinationsprogrammet, fremtiden, banebrydende, offentliggjort, udviklingen, livmoderhalsen","sygdommen, godkendt, fuldstændigt, håber, konstateret, infektionssygdomme, vaccinationsprogrammet, fremtiden, banebrydende, offentliggjort","læger, undersøgt, hudkræft, lægerne, infektioner, karcinom, speciallægepraksis, klinisk, mødet, omtalt","vaccinen, vaccine, sygdommen, gennembrud, virussygdom","sjældne, usædvanligt, videnskabelige, gør, årsagen, ellers, medicinstuderende, hvorfor, forskere, sygdom","peniskræft, gynækologi, kræftvacciner, endetarmskræft, vaccinerne, lægemidler, sundhedsmyndigheder, forsøgspersonerne, sundhedsmyndigheders, papillomavirus","infektionssygdomme, vaccinationsprogrammet, fremtiden, banebrydende, offentliggjort, udviklingen, vaccinationsprogram, undersøgelsen, sundhedsmyndigheders, kræftvaccinen","kønsvorter, kønsvorterne, sexsygdom, kønsdelene, blødninger, smerter, kilde, infektion, kløe, små","kræften, kræftvaccine, kræftformer, kræftsygdomme, kræftsygdom, undersøgt, kønsorganerne, vacciner, livmoderhalsen, kræftform","børnevaccinationsprogrammet, børnevaccinationsprogram, celleforandringer, kræftsygdomme, kræften, godkendt, vacciner, håber, fuldstændigt, livmoderhalsen","læge, livmoderhalsens, infektionerne, kræftsygdom, skyldes, lægen, kræftvaccine, lægerne, undersøgt, børnevaccine","overlæge, vaccine, håber, celleforandringer, forskere, rigshospitalet, gynækologisk, godkendt, fundet, gynækolog"
"2006 06 08 - 2007 03 01","vaccineret, kræftvaccine, efteråret, fuldstændig, vaccinationerne, kræftsygdom, vaccinen, kræftvaccinen, speciallæge, kræfttype","kræftvirussen","sundhedsstyrelsen, fuldstændig, børnevaccinationsprogram, efteråret, sundhedsstyrelsens, kræftvaccine, vaccinationsudvalg, kræftforebyggende, lægemiddelagentur, kræftens","kræft, vaccinationen, efteråret, livmoderhalsen, fuldstændig, livmoderen, kræftsygdom, lægemiddelstyrelsen, måske, rigshospitalet","hpv, vaccine, undersøgt, infektionen, tilfælde, landsdækkende, skyldes, konstateret, seksuelt, døde","sygdom, vaccination, bivirkninger, hævelse, hedder, gardasil, kilde, vaccine, tilfælde, konstateret","kvinder, vaccinationen, skyldes, landsdækkende, bliver, ældre, konstateret, seksuelt, døde, kronisk","bekæmpelse, kræftens, fuldstændig, efteråret, godkendt, kræftvaccine, vaccine, højeste, kvinder, kræft","undersøgelse, undersøgelsen, undersøgelser, mænds, mænd, kræftrisiko, spørgeskemaundersøgelse, kræftforekomst, analkræft, undersøgt","sygdommen, godkendt, højeste, kræftform, kræftvaccine, kræftvacciner, sygdomme, selskaber, dødsfald, lægemiddelstyrelse","læger, lægemiddelstyrelsen, vaccinationen, undersøgelser, kræftsygdom, vaccination, sundhedsområdet, sundhedssystemet, sundhedsvæsen, livmorhalskræft","vaccinen, kræftvaccine, godkendt, vaccine, vaccinationsprogram, europæiske, sundhedsmyndigheder, hvornår, vacciner, første","også, tilfælde, kræftpatienter, mandlerne, vævsprøver, årsagen, originalartiklen, oralsex, seksuel, øgede","vaccinationerne, vaccinerne, sundhed, papillomavirus, lungebetændelse, begrænset, kræftvaccinen, speciallæge, papillomvirus, cervixcancer","sundhedsminister, sundhedsordfører, sundhedsområdet, sundhedssystemet, kræftvaccine, socialdemokraterne, skræmmende, livmorhalskræft, spørgsmål, sundhedsvæsen","kønsvorter, vacciner, lægemiddelagentur, kønssygdomme, godkendt, vaccinationsudvalg, kræftform, beskytter, sundhedsmyndigheder, hvorfor","kræftformer, lungekræft, hvorfor, peniskræft, spørge, mænds, spørgsmål, kræftsygdom, kønssygdomme, sundhedsstyrelsens","børnevaccinationsprogrammet, lægemiddelstyrelsen, vaccination, vaccinationen, kræftsygdom, halskræft, kræftform, sundhedsordfører, vaccinerne, vaccinationsprogrammet","læge, lægerne, sygehus, livmoderhalsen, begrænset, kræftvaccinen, speciallæge, sundhed, bekæmpelse, forældre","sundhedsstyrelsens, overlæge, vaccinationsudvalg, børnevaccinationsprogram, kræftforebyggende, højeste, kræftvaccine, sundhedsmyndigheder, vacciner, kræftvirussen"
"2007 03 01 - 2007 11 22","vaccineret, årige, vaccinationer, børnevaccinationsprogram, børn, aldersgrænsen, børnevaccina, børnelægen, mellemørebetændelse, hvis","livmoderhalskræft, livmoderhalsen, celleforandringer, børn, vaccinerne, børnelæge, gør, vaccinationer, undersøgelser, mistænkt","sundhedsstyrelsen, sundhedsordfører, børn, sandsynlighed, forebyggelse, stadig, pressemeddelelse, folkesundheden, papillomvirus, indføre","kræft, sundhedsstyrelsens, halskræft, svælget, kræfttilfældene, oralsex, livmorhalskræft, danskere, kræftvaccine, ifølge","hpv, livmorhalskræft, vaccine, halskræft, papillomvirus, oralsex, svælget, beskytter, forårsaget, kønsdele","bivirkninger, dødsfald, hovedpine, kvalme, hjerteproblemer, sygdom, svimmelhed, lægemiddelstyrelse, dårlige, vaccinationsprogrammer","kvinder, vaccination, vaccinationen, folkesundheden, ældre, beskytte, seksuelt, kvinderne, underlivskræft, kræftforebyggelse","bekæmpelse, kræftens, køn, ikkevaccinerede, vaccinere, vigtigt, muligt, drenge, seksuelt, vacciner","undersøgelse, celleforandringer, undersøgelsen, livmoderhalsen, tilfælde, gennemsnit, kønsdele, skamlæber, kvinderne, vaccine","sygdommen, årsag, årige, celleforandringer, bliver, livmoderhalsen, kvindernes, gynækolog, gynækologi, sundhedsmæssig","læger, kvinderne, usikkerhed, aldersgrænsen, årige, sundhedsstyrelsens, livmoderkræft, lægeforeningen, sundhed, socialdemokraterne","vaccinen, vaccinationsprogram, sundhedsstyrelsens, vaccinationsudvalg, vaccine, kønsdele, skamlæber, kønsorganerne, kønsorganer, kræft","også, årige, når, livmorhalskræft, bliver, kønsdele, skamlæber, kønsorganerne, hvis, fredag","vaccinerede, vaccinationen, vaccinerne, papillomvirus, ukendt, sandsynlighed, folkesundheden, gynækologisk, sundhedsmæssig, vacciner","sundhedsminister, livmorhalskræft, sundhedsordfører, årige, sundhedsministeren, sundhedsministerens, kræfttilfældene, halskræft, tilfælde, gennemsnitligt","kønsvorter, sygdomme, kræfttilfælde, sexsygdomme, kønssygdommen, værste, vaccinationsregister, lægemiddelmyndigheder, spørgsmål, dækning","kræftformer, kræfttilfælde, kræftform, kræftvaccine, peniskræft, børnevaccinationsprogrammer, kræftforebyggende, sundhedspolitisk, analkræft, endetarmskræft","børnevaccinationsprogrammet, børnevaccinationsprogram, kræftvaccine, sundhedsministeriet, sundhedsstyrelsens, pneumokoksygdom, leverkræft, småbørn, kræftfremkaldende, vaccinationer","læge, lægen, lægeforeningen, lægerne, lægeuddannelse, lægeforeningens, cheflæge, lægernes, overlæger, speciallæger","overlæge, gynækologi, kvindernes, sundhedsstyrelsens, livmoderhalsen, årsag, ændret, ubeskyttet, rygerne, kegleoperationer"
"2007 11 22 - 2008 08 15","vaccineret, vaccinationen, alligevel, forældre, fortsat, godkendt, undersøgelse, livsmoderhalskræft, medicinpriser, kræftvaccine","livmoderhalskræft, stadig, bliver, endnu, indføre, røde, hjemmeside, rød, medlemmer, åbner","sundhedsstyrelsen, livmoderhalsen, udskudt, gynækologiske, sundhedsstyrelsens, sundhedsudvalg, spørgsmål, sundhedsordførere, politiken, børnevaccinationsprogram","kræft, livmoderhalsen, celleforandringer, når, tilfælde, kræftbehandling, hvad, sygehus, konstateret, gør","hpv, vaccine, celleforandringer, ikke, gratis, indføre, regeringen, forhandlingerne, årige, tilskud","bivirkninger, gynækologen, hverken, rigshospitalet, aldersgrænsen, langtidsvirkningerne, lægen, baggrund, måske, forældre","kvinder, kræftvaccine, vaccinationen, sundhedsordfører, kræftform, sundhedsudvalg, indføre, alligevel, måske, længere","bekæmpelse, kræftens, prostatakræft, sundhedsvæsen, sundhedsministeren, værste, vaccinationsprogram, sundhedsudvalg, sundhedsstyrelsens, alderen","undersøgelse, undersøgelsen, gynækologisk, undersøgt, livmoderhalsen, undersøgelser, dødsfald, fortsat, halveret, livmoderhalskræftpatienter","sygdommen, kønssygdomme, sygdom, kønssygdommen, ældre, sundhedsministeren, aldersgrænse, værste, sundhedspolitikere, sygdomme","læger, sundhedsminister, forskere, hjertepatienter, sundhedsaftale, livsmoderhalskræft, lægeforeningen, medicinpriser, ældre, aldersgrænsen","vaccinen, vaccinationsprogrammet, længere, vaccinationen, indfører, indføre, grønlandske, grønland, vaccinationsprogram, vaccinationerne","også, årige, børn, kvindeliv, kræftvaccinationer, sundhedsmyndighederne, indfører, grønlandske, vaccinere, grønland","vaccinerede, kræftvaccine, lægemiddelagentur, forskere, lægemiddelstyrelsen, dødsfald, aftalen, aftale, gør, vaccinationen","sundhedsminister, sundhedsministeren, sundhedsordfører, medicintilskuddet, socialdemokraterne, kræftvaccine, forhandlingerne, medicintilskud, finansministeriet, enhedslisten","kønsvorter, grønlandske, kræftvaccinationer, grønland, sundhedsmyndighederne, indfører, kvindeliv, børn, vaccinationerne, vaccinere","kræftformer, kræftsygdom, livmoderhalskræfttilfælde, lægemidler, lægemiddelstyrelsens, sundhedsministeriet, børnevaccinationsprogram, endetarmskræft, kræftområdet, brystkræft","børnevaccinationsprogrammet, kræftvaccine, sundhedsudvalg, sundhedsstyrelsens, børnevaccinationsprogram, indført, kræftsygdom, sundhedsstyrelse, usikker, livmoderhalsen","læge, forældre, lægerne, lægen, døtre, livsmoderhalskræft, sundhedsaftale, medicinpriser, hjertepatienter, årige","overlæge, overlægen, kønsvorterne, kønsdelene, sygdommens, sexliv, kønssygdommen, kønssygdomme, sexlivet, køns"
